category,priority,template_name,repo,folder_destination,notes
SaaS,1,Next.js SaaS Starter,nextjs/saas-starter,01-saas/nextjs-saas-starter,"General SaaS foundation"
SaaS,2,Update SaaS Starter,updatedotdev/nextjs-supabase-stripe-update,01-saas/update-saas-starter,"Supabase + Stripe oriented"
B2B,1,B2B Multi-Tenant Starter Kit,stack-auth/multi-tenant-starter-template,02-b2b/multi-tenant-starter,"Organizations, dashboard, account settings"
Content Creation,1,Mux AI + Vercel Workflows Starter,muxinc/nextjs-video-ai-workflows,03-content-creation/mux-ai-video-workflows,"AI video/content workflow starter"
Content Creation,2,Remotion on Vercel,remotion-dev/template-vercel,03-content-creation/remotion-vercel,"Programmatic video rendering"
Workflow,1,Workflow Builder,vercel-labs/workflow-builder-template,04-workflow/workflow-builder,"Visual workflow automation"
Workflow,2,Tersa AI Workflow Canvas,vercel-labs/tersa,04-workflow/tersa,"Visual AI workflow playground"
Agents,1,Coding Agent Template,vercel-labs/coding-agent-template,05-agents/coding-agent-template,"Coding agents with Sandbox"
Agents,2,Open Agents,vercel-labs/open-agents,05-agents/open-agents,"Background coding agents"
Agents,3,OpenAI Agents SDK + FastAPI,vercel-labs/openai-agents-python-template,05-agents/openai-agents-python-template,"Python agent starter"
Crons,1,Vercel Cron Job Example,vercel/examples,06-crons/vercel-examples,"Use subfolder solutions/cron"
Sandbox,1,OpenAI Agents SDK + FastAPI,vercel-labs/openai-agents-python-template,07-sandbox/openai-agents-python-template,"Sandbox-oriented agent starter"
Sandbox,2,Remotion on Vercel,remotion-dev/template-vercel,07-sandbox/remotion-vercel,"Sandbox-enabled rendering workflows"
v0,1,v0 Platform API Demo / v0 Clone,vercel/v0-sdk,08-v0/v0-sdk,"v0 API examples and clone-style demos"
